name,line
"                         M'BAKU (CONT'D)
","          some ivory traders . Made a bit of a
"
"                         OKOYE
","          mess .
"
"                         M'BAKU
","          And will there be any trouble
"
"         INT . VIBRANIUMMINE BOTTOM DAY
","          tonight, Ms. Kenyan heiress?
"
"         EXT. WAKANDAN
","          Depends on how quickly we finish
"
"          AIRSPACE - DAY
","          the mission ...
"
"          GRIOT (O. S.)
","          Can we please focus.
"
"          GRIOT (O.S . ) (CONT'D)
","         T'Challa and Nakia split up. T'Challa heads for the pit and
"
"                         ROSS
","         Nakia walks over to the bar .
"
"          SHURI (O. S . )
","          Thank you .
"
"          GRIOT (O. S . )
","
"
"          SHURI (O. S.)
","         Nakia slips into a seat at the bar and looks around clocking
"
"         EXT. WAKANDAN
","         the room.
"
"          AIRSPACE - DAY
","          40.
"
"          GIOT (O. S . )
","
"
"          GRIOT (O.S.)
","
"
"         EXT. WAKANDAN
","          Over here . One whiskey, please.
"
"          BORDERREGION - DAY
","          Eyes up . Americans . I
"
"         INT. SHURI'S LAB, COCKPIT - DAY
","          count ... three .
"
"         EXT. WAKANDAN
","         We see Nakia's POV as she makes out THREE CIA AGENTSon the
"
"          AIRSPACE - DAY
","         first floor, spread out under the balcony.
"
"         INT. SHURI'S LAB - COCKPIT - DAY
","          Five. How could you miss ""Greased
"
"                         ROSS
","          Lightning"" there behind you .
"
"          SHUR!
","         Standing over the balcony looking , Okoye spots TWOMORECIA
"
"         EXT. MT BASHENGA TOP OF THE HILL - DAY
","         agents, both with greasy hair.
"
"                         OKOYE
","         An elegant waitress carries a tray of drinks to a CRAPS TABLE
"
"                         W'KABI
","         where we find T'Challa .
"
"                         OKOYE
","         The woman places the drinks down as T'Challa peers across the
"
"         INT. VIBRANIUMMINE BOTTOM DAY
","         gambling pit at someone he recognizes and starts that way.
"
"                         KILLMON GER
","          Six. Just spotted an old friend who
"
"                         AS BROKEN
","          works for the CIA . It just got a
"
"                         KILLMONGER(CONT'D)
","          little more complicated.
"
"                         KILLMONGER (CONT'D)
","         T'Challa steps up to another crowded CRAPS TABLE next to
"
"         INT . VIBRANIUMMINE ELEVATOR- DAY
","         EVERETTROSS, the sixth CIA agent he spotted .
"
"         EXT. MT. BASHENGA SUNSET
","          Agent Ross .
"
"                         KILLMONGER
","          Your highness .
"
"                         T'CHALLA
","         Ross plays it cool .
"
"                         KILLMONGER
","          You are buying from Klaue ...
"
"         INT . TRIBAL COUNCILROOM- DAY
","          What I'm doing or not doing on
"
"         EXT. STEP TOWN, GOLDENCITY - MORNING
","          behalf of the US government is of
"
"                         T'CHALLA
","          none of your concern. Now, whatever
"
"                         NAKIA
","          the hell you're up to , do me a
"
"                         HAVE --
","          favor and stay out of my way.
"
"                         T'CHALLA
","          I gave you Zemo.
"
"                         T'CHALLA (CONT'D)
","          41 .
"
"         EXT. LAKE MERRITT APARTMENT
","
"
"          COMPLEX,OAKLAND- AY
","          And didn't I kept it under wraps
"
"                         D
","          that the King of a third world
"
"                         SHURI
","          country runs around in a
"
"                         T'CHALLA
","          bulletproof cat suit. I ' d say we
"
"                         SHURI
","          were even .
"
"                         T'CHALLA
","         Ross places a Pass bet. T'Challa dumps a stack of chips on
"
"          T' CHALLA(CONT'D)
","         Don't Pass. All of the SHOOTER'S FRIENDS blow on the dice.
"
"                         T'CHALLA (CONT'D)
","          You really need to leave, now.
"
"                         SHURI
","         They watch the dice roll . They land on 3. The dea l er takes
"
"                         OAKLAND KID #1
","         away Ross' bet , and slides T'Challa's massive payout over to
"
"                         OAKLANDKID #2
","         him .
"
"                         OAKLANDKID #3
","          Klaue is leaving out that door with
"
"                         YOUNGBLACK KID
","          me. You've been warned.
"
"          OAKLANDKID #1 (O.S.)
","         T'Challa walks toward another craps table , leaving the pile
"
"          OAKLAND KID #2 (O. S.)
","         of chips behind (money means nothing to him) .
"
"          OAKLAND KID #3 (O. S . )
","          (to the empty chair)
"
"                         OAKLAND
","          Hey, you won .
"
"          KID #2 (O. S . )
","         Ross scratches his brow as a THIRSTY GAMBLER(Stan Lee) who
"
"                         OAKLAND KID #3
","         was sitting next to T'Challa grabs them .
"
"          SHUR! ( 0. S . )
","         Ross eyes the Thirsty Gambler who shrugs .
"
"          OAKLAND KID #1 (O.S . )
","          You know what, I think I'll just
"
"          SHUR! ( 0 . S . )
","          take these , bring 'em over here and
"
"          OAKLAND KID #1 (O. S . )
","          hold on for safe keeping .
"
"                         YOUNGBLACKKID
","         He slides them all onto the DON'T PASS bet and Ross walks off
"
"          YOUNG BLACKKID (CONT'D)
","         in search of T'Challa .
"
"          CUT TO TITLE:
","          Ok heads up , the King of Wakanda is
"
"                         BLACKPANTHER
","          here . He cannot leave with Klaue .
"
"                        TAG 1
","         T'Challa stands at a ROULETTETABLE when Ross walks up to
"
"         INT. UNITED NATIONS ASSEMBLYBUILDING, ROTUNDA DAY
","         him.
"
"         INT . UNITED NATIONS ASSEMBLYBUILDING - DAY
","          42 .
"
"                         T'CHALLA
","
"
"                        A FRENCHAMBASSADOR
","          Alright , vibranium from the attack
"
"                         FRENCHAMBASSADOR
","          on Sokovia links back to a person
"
"                        TAG 2
","          that I'm not actually saying I'm
"
"         INT. WAKANDAN
","          here to make a deal with but that
"
"          MEDICINE HUT - DAY
","          deal will not be called off. When
"
"         EXT. WAKANDAN
","          the dust settles you and I can work
"
"          MEDICINE HUT - CONTINUOUS
","          something out .
"
"                         SHURI
","          I am not here to make a deal .
"
"                         WAKANDAN
","         Ross rolls his eyes .
"
"                         CHILD
","
"
"                         SHURI
","
"
"                         WAKANDANCHILDREN
","                         -
"
"                         SHURI
","         SEVERALBLACK 4RUNNERSpull up in f r ont of the Korean W oman
"
"                         BUCKY
","         and a platoon of EIGHT SOUTH AFRICAN TOUGHSdressed i n suits
"
"                         SHURI
","         hop out of the trucks protecting Klaue. Klaue winks at the
"
"                         BUCKY
","         Korean Woman as he wal ks past her. She smi l es back and nods
"
"                         SHURI
","         to the TOUGHbehind her .
"
"       EXT. DEEP SPACE
","
"
"                         SON
","
"
"                         FATHER
","                         -
"
"                         SON
","         Klaue and his men walk through the metal detector , and EVERY
"
"                         FATHER
","         SINGLE ONE OF THEMLIGHTS IT UP. The TOUGHSwatch as they go
"
"                         SON
","         throug h.
"
"                         FATHER
","
"
"                         FATHER (CONT'D)
","
"
"                         FATHER (CONT'D)
","                         -
"
"                         (MORE)
","         Klaue and his eight man entourage confidently stream inside
"
"                         FATHER (CONT'D)
","         the casino , spreading out across the ba l cony , gaining every
"
"                         FATHER (CONT'D)
","         va ntage poin t .
"
"                         FATHER (CONT'D)
","         At a stalemate. Then .. .
"
"                         SON
","          Klaue plus 8!
"
"                         FATHER
","         Ross looks to the entrance and immediately moves away from
"
"                         SON
","         T'Challa .
"
"         EXT. LAKE MERRITT APARTMENT
","         T'Challa watches Ross approach a third CRAPS TABLE. T'C halla
"
"          COMPLEX, OAKLAND NIGHT - 1992
","         turns his back to avoid being seen .
"
"         INT. N'JOBU'S APARTMENT/HALLWAY NIGHT
","          General .
"
"         TV.
","          43 .
"
"                         N'JOBU
","
"
"                         N'JOBU (CONT'D)
","          In position to secure our exit.
"
"                         JAMES
","          And the vibranium.
"
"                         N'JOBU
","         Who changes position from the bar to the CRAPS TABLE where
"
"                         JAMES
","         T'Challa was initially standing .
"
"                         N'JOBU
","          I don't see it yet .
"
"                         DORAMILAJE 1 (SUBTITLE)
","         As TWOOF KLAUES TOUGHSpost
"
"                         (IN XHOSA)
","          ' up on either side of her on the
"
"                         N'JOBU
","         balcony . She trie s to play it cool as they look around at the
"
"                         DORAMILAJE 1
","         patrons s uspiciously .
"
"                         (IN XHOSA)
","          I thoug ht there were no weapons
"
"         OUT .
","          allo wed in here .
"
"         INT. N'JOBU'S APARTMENT NIGHT
","          There's not supposed to be .
"
"                         N'JOBU
","          Someone did not get the memo.
"
"                         (IN XHOSA)
","          Definitely armed .
"
"                         YOUNG T'CHAKA
","         Klaue spots Ross and smiles as he heads down the stairs
"
"                         N'JOBU
","         flanked by a couple of his TOUGHS.
"
"          YOUNG ' CHAKA
","
"
"                         T
","          ,
"
"          YOUNG ' CHAKA(CONT'D)
","         Ross keeps his cool as Kl aue approaches .
"
"                         T
","          Well that is quite the entourage .
"
"                         (IN XHOSA)
","          You got a mixtape coming out?
"
"                         (IN ENGLISH)
","         Klaue cuts Ross a look .
"
"          YOUNG T'CHAKA (CONT D)
","          Yeah ! Yeah , actually there is one .
"
"                         N'JOBU
","         Shocked , Ross is unsure if Kl aue is serious .
"
"                         YOUNG T'CHAKA
","          44.
"
"         ULYSSES KLAUE .
","
"
"          YOUNG T'CHAKA (CONT'D)
","          Yea I'll send you the soundcloud
"
"          YOUNG T'CHAKA (CONT'D)
","          link if you like .
"
"                         N'JOBU
","         Klaue turns to one of his goons .
"
"                         YOUNGT'CHAKA
","          Aye, Dave . Get him the link to the
"
"                         N' JOBU
","          tape .
"
"          YOUNG CHAKA(SUBTITLE)
","         The SOUTHAFRICAN TOUGHreaches into his pocket for his
"
"                         T'
","         phone.
"
"                         (IN XHOSA)
","          Please don't make me listen to your
"
"                         JAMES
","          music . I just meant , you got a lot
"
"                         N'JOBU
","          of people with yo u.
"
"                         N'JOBU (CONT'D)
","          Oh, you think they're for you?
"
"                         JAMES (ZURI)
","         Klaue laughs at this .
"
"                         N'JOBU
","          Don't worry . I can do a deal with
"
"                         YOUNG T'CHAKA
","          you all by myself , thank you very
"
"          YOUNG T'CHAKA (CONT'D)
","          much .
"
"         EXT. LAKE MERRITT, OAKLAND NIGHT
","         He rubs Ross on the shoulder , hard , and for way too long . As
"
"         INT. COMMAND
","         several more SOUTHAFRICAN TOUGHScome pouring out of the VIP
"
"          CABIN, ROYALTALONFIGHTER - NIGHT - PRESENT DAY
","         lounges .
"
"                         BBC ANCHOR
","          Six more, it ' s a set up.
"
"                         (MORE)
","          You got the diamonds?
"
"          BBC ANCHOR(CONT'D)
","         Klaue is still rubbing Ross' shoulder .
"
"                         OKOYE
","          Ok, that's enough.
"
"         EXT. NIGHT SKY CHIBOCK- NIGHT
","         A CIA AGENTwalks a FANCYSLIM BRIEFCASE towards Ross.
"
"                        AN
","          We need to move on Klaue.
"
"         INT. COMMAND
","          45.
"
"          CABIN, ROYALTALONFIGHTER - NIGHT
","
"
"                         T'CHALLA
","
"
"          T'CHALLA (CONT D)
","          Stand down . We can't afford a shoot-
"
"                         OKOYE
","          out.
"
"                         T'CHALLA
","         Ross eyes Klaue as the CIA agent brings him the briefcase .
"
"         EXT. NIGHT SKY, CHIBOCK - NIGHT
","          The vibranium?
"
"         EXT. DIRT ROAD CHIBOCK - NIGHT
","         Klaue looks around , and reaches into his pants and pulls out
"
"         I/E . MILITANT LEADER'S PICKUP, DIRT ROAD, CHIBOCK- NIGHT
","         a wrinkled, sweaty paper bag, with ""FRAGILE"" written on it
"
"                         MILITANT LEADER
","         with a sharpie . Ross looks at the bag.
"
"         INT. CARGOTRUCK, CHIBOCK- NIGHT
","          I was going to buy a fancy
"
"                         DRESSED IN
","          suitcase, but I thought I'd save
"
"                         CARGOTRUCKMILITANT
","          myself some money .
"
"         EXT. ROAD CHIBOCK- NIGHT
","
"
"         I/E. MILITANT LEADER'S PICKUP, DIRT ROAD CHIBOCK- NIGHT
","          It's now or never .
"
"                         MILITANT LEADER
","         Nakia continues towards the CIA agent.
"
"                         (INTO RADIO)
","
"
"         I/E . CARGOTRUCK, CHIBOCK- NIGHT
","         A South African Tough hears her, and turns towards her.
"
"         EXT. MILITANT LEADER'S PICKUP, DIRT ROAD CHIBOCK- NIGHT
","
"
"         ON MILITANT LEADER
","          Hey.
"
"                         MILITANT LEADER
","         Okoye pretends she doesn't hear him.
"
"                         (INTO RADIO)
","          Hey!
"
"                        FROMTHE ROAD
","          I've been made.
"
"          . SO CAL,
","          46 .
"
"         I/E. CARGOTRUCK CHIBOCK- NIGHT
","
"
"         EXT. DIRT CLEARING, CHIBOCK - NIGHT
","
"
"                        ON PANTHER
","         Okoye starts for the stairs when ANOTHER TOUGHmoves to cut
"
"                         NAKIA
","         her off . Okoye slows down and the TOUGHtrailing behind her
"
"                         T'CHALLA
","         reaches out to grab her hand and turn her around .
"
"          NIGERIAN MILITANT #2 (O.S.)
","         As soon as the goon touches Okoye , she TWISTS him into an ARM
"
"                        CAPTIVE WOMAN
","                         -
"
"          NIGERIAN MILITANT #2 (CONT D)
","         BAR throws her purse at the OTHERTOUGHand extends her
"
"                         N
","          ,
"
"                         OKOYE
","         spear , stabbing the OTHERTOUGHin the foot . She then throws
"
"                         NAKIA
","         her WIG into the ARMBAR TOUGH's face, and hurls him over the
"
"                         T'CHALLA
","         railing .
"
"          T'CHALLA (CONT D)
","         The arm-bar tough CRASHESDOWN onto a gaming table behind
"
"                         NAKIA
","         Klaue and startled patrons , scramble in every direction .
"
"                         NIGERIAN WOMAN
","         Klaue spins toward the commotion as ...
"
"                         OKOYE
","         Klaue looks back to Ross and spots T'Challa.
"
"         EXT. WAKANDAN
","         Producing a HANDGUN from his waist, Klaue opens fire on Ross
"
"                         MOUNTAIN
","         and the CIA agent . Ross uses the SLIM SUITCASE as a shield as
"
"                         BORDER- BREAKINGDAWN
","         he ducks down below the craps table and . . .
"
"         INT . ROYALTALONFIGHTER - BREAKINGDAWN
","         T'Challa leaps to action , KICKING and FLIPPING THE TABLE on
"
"                         OKOYE
","         its edge to block GUNFIRE from Klaue's other toughs.
"
"         I/E . ROYALTALONFIGHTER - BREAKINGDAWN
","         With bullets flying everywhere ... PANICKEDPEOPLE run for
"
"                         T'CHALLA
","         their lives . It's CHAOS.
"
"         I/E . RTF - BREAKINGDAWN
","         Surrounded by TOUGHS Klaue retreats
"
"         EXT. THE GOLDENCITY, CAPITAL OF WAKANDA BREAKINGDAWN
","          , for the stairs .
"
"         EXT. LANDING PAD, ROYALPALACE/INT. RTF - BREAKINGDAWN
","          Get the diamonds, quick !
"
"                         NAKIA
","         EVERYONE OF KLAUE'S TOUGHSunload, raining shells on the
"
"                         RAMONDA
","         overturned craps table with Ross and T'Challa behind it .
"
"                         OKOYE
","         The TOUGHS move in only to have T'Challa leap from the table ,
"
"                         (TO AYO)
","         staying low to FOOTSWEEP one onto his back . T'Challa kicks
"
"                         AYO
","         him back then disarms another TOUGHand kicks him into the
"
"          SHUR!
","         bar . T'Challa then spins and kicks the next TOUGHover the
"
"                         OKOYE
","         roulette table and through the bar railing.
"
"                         T' CHALLA
","         Nakia grabs a goon in an ARMTWIST trying to relieve him of
"
"                         T'CHALLA (CONT'D)
","         his gun . She takes off one shoe and knocks out another
"
"          SHUR!
","         approaching gun. Swings the arm twisted goon to the floor,
"
"                         T'CHALLA
","         knocks him out, taking his gun and shooting up towards the
"
"          SHUR!
","         balcony where Okoye is fighting .
"
"                         T' CHALLA
","         Okoye BATTLES TWOTOUGHSwith her full-length spear, dropping
"
"                         (TEASING)
","         both with proficiency .
"
"                         T'CHALLA (CONT'D)
","          47 .
"
"                         RAMONDA
","
"
"          SHUR!
","
"
"                         T'CHALLA
","         She kicks the gun away from one, fights another with her
"
"                         RAMONDA
","         spear, then kicks a TOUGHover the rail.
"
"         EXT. BRITISH MUSEUM,LONDON UK - MORNING
","         Okoye JUMPS down to the casino floor and stabs a goon on her
"
"         INT. WEST AFRICAN EXHIBIT - MOMENTS
","         way down, tucks and rolls.
"
"                         LATER
","         Okoye takes out a TOUGHwith her spear. Nakia flips a TOUGH
"
"         ERIK KILLMONGER .
","         over her back . T'Challa sends a TOUGHand table flying .
"
"                         MUSEUM DIRECTOR
","         Beats down two more TOUGHS, he turns for more.
"
"                         KILLMONGER
","         T'Challa spots Klaue nearing the entrance and breaking away
"
"                         MUSEUM DIRECTOR
","         from the fight, LEAPS HALF WAYUP onto a column , bounds off
"
"                         KILLMONGER
","         to the UPPER BALCONY
"
"                         KILLMONGER (CONT'D)
","
"
"                         MUSEUM DIRECTOR
","
"
"                         KILLMON GER
","                         -
"
"                         MUSEUM DIRECTOR
","         T'Challa lands 10 feet behind Klaue.
"
"                         KILLMONGER
","          Murderer!
"
"                         MUSEUM DIRECTOR
","         Klaue stops and turns around to face T'Challa. He tries to
"
"                         KILLMONGER
","         fire his gun but discovers he ' s out of ammo.
"
"                         MUSEUM DIRECTOR
","         Klaue smiles, dropping his gun and puts his hands up -- as
"
"                         (AMUSED)
","         KLAUE'S PROSTHETIC LEFT ARMsuddenly splits open, revealing
"
"                         KILLMONGER
","         itself to be a SONIC DISRUPTER!
"
"                         MUSEUM DIRECTOR
","          You know, you look just like your
"
"                         KILLMONGER
","          old man.
"
"                         MUSEUM DIRECTOR
","         T'Challa snatches up a ROLLING CHANGECART TABLE just as
"
"                         KILLMONGER
","         Klaue fires the blaster at him .
"
"                         SECURITY GUARD
","         BOOOOM ! A COLOSSALSONIC BLAST hits the cart,
"
"                         KILLMONGER
","          !! blowing it to
"
"                         KILLMONGER (CONT'D)
","         pieces and sending T'Challa FLYING THROUGH THE UPPER BALCONY
"
"                         SECURITY GUARD
","         RAILING back down into the pit . With money FLOATING in the
"
"                         (INTO RADIO)
","         air , T'Challa lands hard .
"
"         I NT. CAFE BRITISH MUSEUM MORNING
","          I made it rain!
"
"                         LINDA
","         Nakia and Okoye make their way to the top of the stairs as . .·
"
"         INT. WEST AFRICAN EXHIBIT, BRITISH MUSEUM MOMENTS
","
"
"                         - LATER
","
"
"                         KLAUE
","                         -
"
"                         LIMBANI
","         Klaue and FOUR TOUGHSexit with Nakia and Okoye giving chase .
"
"                         KLAUE
","          48 .
"
"                         KILLMONGER
","
"
"                         KLAUE
","
"
"         INT . SECURITY DESK, BRITISH MUSEUM MOR ING
","          That was awesome! That was awesome!
"
"                         - N
","          Let's go ! Go, go , come on!
"
"         EXT. BRITISH MUSEUM LONDON UK - MORNI G
","         Klaue jumps in the first of FOUR IDLING 4RUNNERS. The convoy
"
"          , , N
","         instantly skids away as ...
"
"         INT . WEST AFRICAN EXHIBIT - MORNING
","         Nakia and Okoye emerge . Okoye throws an EMP bead from her
"
"                         KLAUE
","         pocket and it lands on a parked LEXUS LC.
"
"          KLAUE (CONT' D)
","          Do we just leave him?
"
"                         KLAUE (CONT'D)
","          He'll catch up.
"
"                         KILLMON GER
","         Nakia starts the car and Okoye climbs in . T'Challa sprints
"
"                         KLAUE
","         out of casino .
"
"                         KILLMONGER
","          Shuri !
"
"                         KLAUE
","
"
"                         KLAUE (CONT'D)
","         Shuri stands in front of a rectangular VIBRANIUMCASING that
"
"                         KILLMONGER
","         lowers . The SAND inside FORMSinto the Lexus LC's cockpit.
"
"         INT. FOYER BRITISH MUSEUM MORNING
","          Remote driving system activated.
"
"         EXT. BRITISH MUSEUM,LONDON UK - MOMENTS
","          Yes yes yes! Wait ... Which side of
"
"          , LATER
","          the road is it?
"
"                         AND CLIMB
","         We see a three-dimensional HOLOGRAM VIEW from inside the
"
"         EXT. WAKANDAN
","         Lexus LC's cockpit appear as Shuri climbs in.
"
"          RIVER - DAY
","          For Bast sake just drive !!!
"
"         EXT. DORAMILAJE BARGE WAKANDAN
","          Okay okay, calm down brother !
"
"          , RIVER - DAY
","
"
"         EXT. ROYALBARGE WAKANDAN
","
"
"          , RIVER - DAY
","                         -
"
"         EXT. RIVER TRIBE BARGE WAKANDAN
","         HIS FACE. . . Black Panther.
"
"          , RIVER - DAY
","          49 .
"
"         EXT. DORAMILAJE BARGE WAKANDAN
","
"
"          , RIVER - DAY
","         Panther continues running as the LEXUS pulls up behind him ,
"
"         EXT. WAKANDAN
","         at the last second he single-leg flips and lands on the hood
"
"          FALLS - DAY
","         of the Lexus LC, digging his HANDand BOOT claws into the
"
"          ELDERS WARRIORS, DORA
","         hood as it SCREAMSOFF.
"
"                         CROWD
","
"
"         EXT. SEATING AREA WARRIOR
","          Wool Let's go !
"
"          , FALLS
","
"
"         EXT. CHALLENGE
","         Klaue turns to the driver.
"
"                         POOL WARRIOR
","          Put some music on ! What do you
"
"          , FALLS - DAY
","          think this is a funeral?
"
"                         ZURI
","
"
"                         VESSEL
","         The 4RUNNERScross through one intersection at speed, then
"
"                         ZURI (CONT'D)
","         make a hard right at the next INTERSECTION. Nakia remains on
"
"                         ZURI (CONT'D)
","         them as at the far end of the street we see PANTHER'S LEXUS
"
"                         CROWD
","         LC join the chase.
"
"                         ZURI
","         The CONVOY makes a right at a ""T"" and races down a TWOLANE
"
"                         MERCHANT
","         STREET toward a split in the road.
"
"                         TRIBE ELDER
","
"
"                         BORDERTRIBE ELDER
","         The FIRST (Klaue) and THIRD 4RUNNERScontinue on the two lane
"
"          RIVER TRIBE ELDER
","         street with NAKIA S LEXUS SEDANon their
"
"          MINING TRIBE ELDER
","          ' tail .
"
"                         ZURI
","          Which one is he in now?
"
"         ON SHUR!
","
"
"          SHUR!
","          ,
"
"                         CAN
","         Klaue picks up his radio .
"
"         BACK IN THE POOL
","          Hey, split up!
"
"         ON THE AUDIENCE
","
"
"         ON SHURI AND RAMONDA
","          They're trying to lose us .
"
"                         SHURI (CONT'D)
","          50.
"
"                         RAMONDA
","
"
"         BACKIN THE POOL
","
"
"                         ZURI
","          We'll take the right .
"
"                         M'BAKU
","
"
"                         M'BAKU (CONT'D)
","         While the SECONDand FOURTHSUV skid left down a SINGLE LANE
"
"                         M'BAKU (CONT'D)
","         ROADfollowed closely by ...
"
"                         WITH T'CHALLA)
","
"
"                         (BEAT)
","         A skilled driver, Shuri shifts gears, darting left , in behind
"
"                         WISH TO
","         the trucks with Panther anchored atop .
"
"                         T'CHALLA
","          We'll take the other two ! I see a
"
"                         (INTERRUPTING)
","          short cut .
"
"                         M'BAKU
","
"
"                         ZURI
","
"
"                         M'BAKU
","          ,
"
"          M'BAKU (CONT D)
","         With the LEXUS LC closing in, the SECONDand FOURTH4RUNNERS
"
"         EXT. SEATING AREA, WARRIORFALLS - DAY
","         make a right turn , dropping down a STEEP HILL.
"
"                         RAMONDA
","         Panther chases the SUV's off the hill. The lead SUV collides
"
"         EXT. CHALLENGE
","         with a car in crossing traffic .
"
"                         POOL WARRIOR
","
"
"          , FALLS - DAY
","          We're not going to make it!
"
"                         T'CHALLA
","
"
"                         N
","
"
"         ON SHUR!
","          Keep go in g !
"
"          SHUR!
","         Panther uses his claws to make a sharp turn and avoid the
"
"         BACK IN THE CHALLENGE
","         wreck .
"
"                         POOL
","
"
"         CHOKES .
","
"
"                         T'CHALLA
","          Wool Brother !
"
"                         M'BAKU
","
"
"                         T'CHALLA
","
"
"          T'CHALLA (CONT' D)
","         Panther catches up with the Rear SUV he takes fire and leaps
"
"                         T'CHALLA (CONT'D)
","          ,
"
"                         ZURI
","         on the roof of the SUV Panther rips the SUV roof open .
"
"                         T'CHALLA
","          .
"
"                         ZURI
","          51 .
"
"                         T'CHALLA
","
"
"         EXT. CITY OF THE DEAD - DUSK
","         The scared driver leaps out of the car , causing the SUV to
"
"         INT. HALL OF KINGS, CITY OF THE DEAD - DUSK
","         collide with parked cars , ""Sidewinder .
"
"                         ZURI
","         Shuri runs over the escaped driver on accident .
"
"                         ZURI (CONT'D)
","
"
"         INT . HALL OF KINGS, CITY OF THE DEAD - FLASHBACK
","          Hey , what was that ! ?
"
"         INT. UNITED NATIONS BUILDING - FLASHBACK
","
"
"         INT . HALL OF KINGS, CITY OF THE DEAD - DUSK
","
"
"                         ZURI
","          ,
"
"         INT . UNITED NATIONS BUILDING - FLASHBACK
","          Don't worry about it . You're doing
"
"         EXT. UNITED NATIONS - FLASHBACK
","          great .
"
"         INT. HALL OF KINGS, CITY OF THE DEAD - DUSK
","         Panther leaps back onto the hood of the Lexus and they speed
"
"         EXT. BLACKPANTHERANCESTRALPLANE - UNKNOWN
","         off .
"
"                         T'CHALLA
","         I/e . KLAUE'S 4RUNNER SPEAR STREET - NIGHT
"
"                         T'CHAKA
","          ,
"
"                         (IN XHOSA)
","         Klaue looks back as Nakia closes in .
"
"                         T'CHALLA
","         The driver f l oors it as a GUNMAN the
"
"                         T'CHAKA
","          in THIRD SUV opens fire
"
"                         T'CHAKA (CONT'D)
","         on Nakia's Lexus. The bullets carom off the hood .
"
"                         (IN XHOSA)
","
"
"                         T'CHALLA
","          ,
"
"                         (IN XHOSA)
","         Nakia and Okoye ... unfazed by the gunfire .
"
"                         T'CHAKA
","          Guns . So primitive .
"
"                         (IN XHOSA)
","         I/e . KLAUE'S 4RUNNER, SPEAR STREET - NIGHT
"
"                         T'CHALLA
","         Klaue barks into his comm.
"
"                         T'CHAKA
","          It ' s a vibranium car you idiots !!
"
"                         (BEAT)
","          Bullets won't penetrate !!
"
"                         T'CHALLA
","
"
"                         (BEAT)
","          ,
"
"                         T'CHAKA
","         Okoye slides out the passenger window and climbs onto the
"
"         INT . HALL OF KINGS, CITY OF THE DEAD - DUSK
","         roof, stabbing her short spear into the top of the vehicle as
"
"                         ZURI
","         a handle , her dress blowing in the wind .
"
"                         T'CHALLA
","          What are you doing?
"
"         EXT. STEP TOWN, GOLDENCITY - DAY
","          52.
"
"                         T'CHALLA
","
"
"                         NAKIA
","
"
"                         T'CHALLA
","          Just drive .
"
"                         NAKIA
","          Eesh .
"
"                         T'CHALLA
","         Nakia drops back and weaves through traffic as Okoye , engages
"
"                         NAKIA
","         her SPEAR MECHANISM,then steadies herself and let's her long
"
"                         T' CHALLA
","         spear fly , launching the weapon like a javelin.
"
"                         NAKIA
","
"
"                         T'CHALLA
","         The SPEAR rockets through the REAR AND FRONT WINDOW the
"
"                         NAKIA
","         truck, SPIKING THE GROUND and bringing the SUV to a stop with
"
"                         T' CHALLA
","         the force of a head on collision !
"
"                         NAKIA
","
"
"         EXT. WAKANDAN
","          ,
"
"          BORDERREGION - DAY
","         I/e . KLAUE'S 4RUNNER, SPEAR STREET - NIGHT
"
"                         T'CHALLA
","          Oh shoot.
"
"                         W'KABI
","
"
"                         W'KABI (CONT'D)
","
"
"                         W'KABI (CONT'D)
","         The SECONDand FOURTHSUV$ tear from the hills onto the
"
"                         T'CHALLA
","         DIAMOND BRIDGE with Panther's Lexus right behind them .
"
"                         W'KABI
","         Closing in, Panther takes HEAVYGUNFIRE.
"
"                         T'CHALLA
","
"
"                         W'KABI
","         Speeding through BUSY BRIDGE TRAFFIC, Panther surfs the roof
"
"                         W'KABI (CONT'D)
","         of the BULLET RIDDLED LC.
"
"                         T'CHALLA
","          Hey, look at your suit! You ' ve been
"
"          T' CHALLA (CONT'D)
","          taking bullets charging it up with
"
"                         W' KABI
","          kinetic energy !
"
"                         OKOYE(DISPLAY)
","         Panther looks down at the GLOWINGGLYPHS of kinetic energy
"
"         INT. TRIBAL COUNCILROOM- DAY
","         built into his suit as ...
"
"                        AN
","          Pull around the truck .
"
"                         OKOYE
","          53.
"
"                         T'CHALLA
","
"
"          MERCHANT TRIBE ELDER
","
"
"                         W'KABI
","         The LC accelerates ahead , closing in on the SECONDSUV, but
"
"                         OKOYE
","         just as Panther is about to look inside , a passing TRACTOR-
"
"                         W'KABI
","         TRAILER BLOCKShis view .
"
"                         T'CHALLA
","         The 4Runner loses sight of Panther as he LEAPS TO THE
"
"                         W'KABI
","         TRAILER, bounding across the top of the big rig separating
"
"                         T'CHALLA
","         the Lexus and the 4Runner.
"
"                         (BEAT)
","
"
"         EXT/INT. MT. BASHENGA, TOP OF THE HILL - DAY
","         Klaue ' s gunmen search furiously for Panther as the Le xus LC
"
"                        A DRAGONFLYER
","         suddenly cuts in front of them , without Panther on to p .
"
"                         DESIGN GROUP
","          Where'd he go ! ?
"
"         INT. WAKANDAN
","         Then out of nowhere, PANTHERLANDSHARDon the hood of the
"
"          DESIGN GROUP HALLWAY,MT. BASHENGA DAY
","         Looking inside , Panther doesn't see Klaue and launches off
"
"          SHUR!
","         the 4Runner , distributing the kinetic energy from his suit
"
